Food Type,Name,Opening Hours,Google Maps Link
炒粿條,Barefoot Char Koay Teow,Mon 06:30-14:30; Tue 06:30-14:30; Wed 06:30-14:30; Thu Closed; Fri 06:30-14:30; Sat 06:30-14:30; Sun 06:30-14:30,"https://www.google.com/maps/place/Barefoot+Char+Koay+Teow/@5.4071248,100.32622,17z/data=!4m6!3m5!1s0x304ac37015c5a1a3:0xdb3be72dcc197b1!8m2!3d5.4071248!4d100.3288003!16s/g/11ft765f_b?entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw=="
,Hiong Hiong Char Kuey Teow,Mon Closed; Tue 09:30-15:00; Wed 09:30-15:00; Thu Closed; Fri 09:30-15:00; Sat Closed; Sun 09:30-15:00,"https://www.google.com/maps/place/Hiong+Hiong+Char+Kuey+Teow/@5.3895421,100.3061135,17z/data=!3m1!4b1!4m6!3m5!1s0x304ac18f1fe64f0b:0x48016d2df5610b3a!8m2!3d5.3895421!4d100.3061135!16s/g/11sjh7gvvj?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw=="
,Keat Hoe Char Koay Teow,Mon 07:00-11:00; Tue 07:00-11:00; Wed 07:00-11:00; Thu Closed; Fri 07:00-11:00; Sat 07:00-11:00; Sun 07:00-11:00,"https://www.google.com/maps/place/Keat+Hoe+Char+Koay+Teow/@5.4304923,100.3126367,17z/data=!4m6!3m5!1s0x304ac30067fdef63:0x9f1fd7a1aa2d38fc!8m2!3d5.4304923!4d100.3126367!16s/g/11xts28_x7?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw=="
,Lorong Selamat Char Koay Teow,Mon 09:30-17:30; Tue Closed; Wed 09:30-17:30; Thu 09:30-17:30; Fri 09:30-17:30; Sat 09:30-17:30; Sun 09:30-17:30,"https://www.google.com/maps/place/Lorong+Selamat+Char+Koay+Teow/@5.4170511,100.3245897,17z/data=!3m1!4b1!4m6!3m5!1s0x304ac3bdb1da55dd:0xeae54ca3f6702095!8m2!3d5.4170511!4d100.3245897!16s/g/11bv1cygl7?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw=="
,Presgrave Street Ah Shen Duck Egg Char Koay Teow 三條路亞勝鴨蛋炒粿條,Mon 17:30-22:00; Tue 17:30-22:00; Wed 17:30-22:00; Thu Closed; Fri 17:30-22:00; Sat 17:30-22:00; Sun 17:30-22:00,"https://www.google.com/maps/place/Presgrave+Street+Ah+Shen+Duck+Egg+Char+Koay+Teow+三條路亞勝鴨蛋炒粿條/@5.4111347,100.3305877,17z/data=!3m1!4b1!4m6!3m5!1s0x304ac3807cec37b1:0x6d8d3f351537fe09!8m2!3d5.4111347!4d100.3305877!16s/g/11h3cb5b61?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw=="
,暹羅路木炭炒粿條,Mon Closed; Tue 12:00-18:00; Wed 12:00-18:00; Thu 12:00-18:00; Fri 12:00-18:00; Sat 12:00-18:00; Sun Closed,"https://www.google.com/maps/place/暹羅路木炭炒粿條/@5.4148018,100.3209488,17z/data=!3m1!4b1!4m6!3m5!1s0x304ac3b9600a8c6b:0xd12bc6444efbb750!8m2!3d5.4148018!4d100.3209488!16s/g/1hc0wtrds?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw=="
,檳城七條路850炒粿條,Mon 10:00-15:00; Tue 10:00-15:00; Wed Closed; Thu 10:00-15:00; Fri 10:00-15:00; Sat 10:00-15:00; Sun 10:00-15:00,"https://www.google.com/maps/place/檳城七條路850炒粿條/@5.4076018,100.3287678,17z/data=!3m1!4b1!4m6!3m5!1s0x304ac338a65d6935:0xe212310bc20aaf2d!8m2!3d5.4076018!4d100.3287678!16s/g/11lxnzh0vs?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw=="
,興炒粿條Char Kuey Teow,Mon 08:00-14:00; Tue Closed; Wed Closed; Thu 08:00-14:00; Fri 08:00-14:00; Sat 08:00-14:00; Sun 08:00-14:00,"https://www.google.com/maps/place/興炒粿條+Char+Kuey+Teow/@5.4059529,100.328389,21z/data=!4m6!3m5!1s0x304ac3002d296697:0x51c2d2068ff65868!8m2!3d5.4061251!4d100.3283886!16s/g/11ltb1dllz?entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw=="
,35号火炭炒粿条,Mon 06:00-12:00; Tue 06:00-12:00; Wed 06:00-12:00; Thu 06:00-12:00; Fri 06:00-12:00; Sat 06:00-12:00; Sun 06:00-12:00,"https://www.google.com/maps/place/Taman+Free+School+Market+Hawker+Center/@5.4039507,100.309998,20z/data=!4m6!3m5!1s0x304ac3cc18aef7ad:0xd5d687eca270978f!8m2!3d5.4038648!4d100.3102897!16s/g/11g8b9vn3y?entry=ttu&g_ep=EgoyMDI2MDUxMi4wIKXMDSoASAFQAw=="
,姊妹炒粿角,Mon 07:00-12:00; Tue 07:00-12:00; Wed Closed; Thu Closed; Fri 07:00-12:00; Sat 07:00-12:00; Sun 07:00-12:00,"https://www.google.com/maps/place/姊妹炒粿角/@5.4170172,100.329045,17z/data=!3m1!4b1!4m6!3m5!1s0x304ac39640c0a35f:0xffe6180679dbeb98!8m2!3d5.4170172!4d100.329045!16s/g/11c427bn7s?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw=="
